read_length,aligner,mapq,accurate_per_million,inaccurate_per_million
50,graph_19_5,15,807220,23810
50,graph_19_5,20,782020,12360
50,graph_19_5,25,750820,6890
50,graph_19_5,30,724250,5250
50,graph_19_5,35,688080,4670
50,graph_19_5,40,668670,4100
50,graph_19_5,45,646920,3310
50,graph_19_5,50,620970,2470
50,graph_19_5,55,593180,1980
50,graph_19_5,60,563780,1740
50,bwa_aln,0,747690,132110
50,bwa_aln,20,704430,6990
50,bwa_aln,30,654450,3470
60,grave_15_5,0,869280,78260
60,grave_15_5,5,854440,24650
60,grave_15_5,10,852750,21470
60,grave_15_5,15,850830,19670
60,grave_15_5,20,832280,10550
60,grave_15_5,25,808560,5660
60,grave_15_5,30,797360,4150
60,grave_15_5,35,785980,3800
60,grave_15_5,40,776560,3500
60,grave_15_5,45,764070,3250
60,grave_15_5,50,748060,2890
60,grave_15_5,55,736420,2570
60,grave_15_5,60,723870,2380
60,graph_19_5,0,874440,79530
60,graph_19_5,5,858620,22980
60,graph_19_5,10,856540,20410
60,graph_19_5,15,854300,18650
60,graph_19_5,20,835600,10360
60,graph_19_5,25,810990,5870
60,graph_19_5,30,797790,4830
60,graph_19_5,35,782280,4490
60,graph_19_5,40,770630,4160
60,graph_19_5,45,755830,3660
60,graph_19_5,50,735530,2880
60,graph_19_5,55,720120,2390
60,graph_19_5,60,703350,2200
60,bwa_aln,0,771080,100700
60,bwa_aln,20,733680,6780
60,bwa_aln,30,684310,3160
70,grave_15_5,0,894250,61280
70,grave_15_5,5,881600,21870
70,grave_15_5,10,880150,19440
70,grave_15_5,15,878810,18040
70,grave_15_5,20,863170,10660
70,grave_15_5,25,842440,6430
70,grave_15_5,30,831850,5040
70,grave_15_5,35,822400,4750
70,grave_15_5,40,814550,4570
70,grave_15_5,45,805050,4250
70,grave_15_5,50,792410,3790
70,grave_15_5,55,784470,3470
70,grave_15_5,60,776570,3260
70,graph_19_5,0,899160,61740
70,graph_19_5,5,886160,19520
70,graph_19_5,10,884660,17180
70,graph_19_5,15,882900,15940
70,graph_19_5,20,866760,8970
70,graph_19_5,25,845280,5740
70,graph_19_5,30,836140,5000
70,graph_19_5,35,827320,4730
70,graph_19_5,40,818790,4470
70,graph_19_5,45,808530,4150
70,graph_19_5,50,793880,3560
70,graph_19_5,55,784560,3280
70,graph_19_5,60,775000,3170
70,bwa_aln,0,808540,80490
70,bwa_aln,20,775930,6570
70,bwa_aln,30,740200,3950
30,graph_15_3,0,686370,226030
30,graph_15_3,5,664270,68960
30,graph_15_3,10,653060,49020
30,graph_15_3,15,643350,40580
30,graph_15_3,20,601590,19880
30,graph_15_3,25,546720,9490
30,graph_15_3,30,459420,2790
30,graph_15_3,35,303000,1490
30,graph_15_3,40,219590,1030
30,graph_15_3,45,202720,920
30,graph_15_3,50,189180,830
30,graph_15_3,55,168830,520
30,graph_15_3,60,146320,370
30,graph_17_3,0,666960,220830
30,graph_17_3,5,646540,79650
30,graph_17_3,10,637880,63560
30,graph_17_3,15,628710,54200
30,graph_17_3,20,580020,30280
30,graph_17_3,25,512500,13260
30,graph_17_3,30,380090,3810
30,graph_17_3,35,241130,2500
30,graph_17_3,40,237310,2420
30,graph_17_3,45,217560,1900
30,graph_17_3,50,193120,1310
30,graph_17_3,55,141690,490
30,graph_17_3,60,80060,100
30,graph_17_5,0,642110,200770
30,graph_17_5,5,625260,81980
30,graph_17_5,10,618130,68870
30,graph_17_5,15,608030,60160
30,graph_17_5,20,560350,36990
30,graph_17_5,25,486530,16460
30,graph_17_5,30,338010,5280
30,graph_17_5,35,265280,4230
30,graph_17_5,40,258120,3920
30,graph_17_5,45,221700,2870
30,graph_17_5,50,182790,1560
30,graph_17_5,55,108780,260
30,graph_17_5,60,27320,30
30,graph_19_3,0,628780,187130
30,graph_19_3,5,611770,64740
30,graph_19_3,10,607580,56410
30,graph_19_3,15,596920,51020
30,graph_19_3,20,558220,29240
30,graph_19_3,25,502730,13840
30,graph_19_3,30,396080,6910
30,graph_19_3,35,344170,5660
30,graph_19_3,40,335090,5370
30,graph_19_3,45,278840,3900
30,graph_19_3,50,221660,2020
30,graph_19_3,55,113560,260
30,graph_19_3,60,6180,10
40,graph_15_3,0,767950,159470
40,graph_15_3,5,746980,44220
40,graph_15_3,10,743190,35280
40,graph_15_3,15,739610,30790
40,graph_15_3,20,712620,13910
40,graph_15_3,25,679600,7210
40,graph_15_3,30,654470,4420
40,graph_15_3,35,613980,3680
40,graph_15_3,40,584650,3220
40,graph_15_3,45,558970,2600
40,graph_15_3,50,526440,1990
40,graph_15_3,55,495110,1610
40,graph_15_3,60,458020,1230
40,graph_17_3,0,768410,160910
40,graph_17_3,5,747220,45340
40,graph_17_3,10,742840,36630
40,graph_17_3,15,738630,32490
40,graph_17_3,20,708910,15090
40,graph_17_3,25,671780,7430
40,graph_17_3,30,632630,4550
40,graph_17_3,35,573650,3480
40,graph_17_3,40,538320,3060
40,graph_17_3,45,510790,2380
40,graph_17_3,50,478730,1750
40,graph_17_3,55,444250,1230
40,graph_17_3,60,405380,940
40,graph_17_5,0,764130,152230
40,graph_17_5,5,744390,47020
40,graph_17_5,10,740200,39080
40,graph_17_5,15,735180,34520
40,graph_17_5,20,702950,17770
40,graph_17_5,25,660620,9140
40,graph_17_5,30,604600,5040
40,graph_17_5,35,535960,3740
40,graph_17_5,40,500580,3350
40,graph_17_5,45,464280,2590
40,graph_17_5,50,430300,1780
40,graph_17_5,55,390050,1050
40,graph_17_5,60,347350,810
40,graph_19_3,0,765760,158290
40,graph_19_3,5,744540,42270
40,graph_19_3,10,740140,35110
40,graph_19_3,15,734130,31640
40,graph_19_3,20,700570,14610
40,graph_19_3,25,657450,7150
40,graph_19_3,30,603760,4600
40,graph_19_3,35,520700,3560
40,graph_19_3,40,482740,2950
40,graph_19_3,45,448980,2200
40,graph_19_3,50,416810,1470
40,graph_19_3,55,371570,810
40,graph_19_3,60,319520,670
50,graph_15_3,0,834890,107970
50,graph_15_3,5,817830,30220
50,graph_15_3,10,815420,25630
50,graph_15_3,15,813340,23200
50,graph_15_3,20,792020,11770
50,graph_15_3,25,766410,6400
50,graph_15_3,30,754550,4910
50,graph_15_3,35,741120,4340
50,graph_15_3,40,728810,4100
50,graph_15_3,45,714510,3640
50,graph_15_3,50,694290,2900
50,graph_15_3,55,678930,2580
50,graph_15_3,60,660460,2340
50,graph_17_3,0,838390,107880
50,graph_17_3,5,820010,28770
50,graph_17_3,10,817560,24600
50,graph_17_3,15,815010,22260
50,graph_17_3,20,792940,11240
50,graph_17_3,25,766480,6030
50,graph_17_3,30,752440,4920
50,graph_17_3,35,733930,4410
50,graph_17_3,40,716890,4080
50,graph_17_3,45,699870,3580
50,graph_17_3,50,677430,2800
50,graph_17_3,55,658970,2290
50,graph_17_3,60,638390,2110
50,graph_17_5,0,834650,105510
50,graph_17_5,5,817130,30390
50,graph_17_5,10,814550,26030
50,graph_17_5,15,811600,23420
50,graph_17_5,20,788790,12410
50,graph_17_5,25,759800,6650
50,graph_17_5,30,738780,5030
50,graph_17_5,35,712600,4410
50,graph_17_5,40,694300,3990
50,graph_17_5,45,675430,3340
50,graph_17_5,50,652930,2620
50,graph_17_5,55,632650,2110
50,graph_17_5,60,610130,1990
50,graph_19_3,0,837790,111070
50,graph_19_3,5,818500,29010
50,graph_19_3,10,815760,24740
50,graph_19_3,15,812470,22320
50,graph_19_3,20,788260,11130
50,graph_19_3,25,759150,6320
50,graph_19_3,30,740410,5150
50,graph_19_3,35,711150,4710
50,graph_19_3,40,692000,4190
50,graph_19_3,45,673450,3500
50,graph_19_3,50,648770,2580
50,graph_19_3,55,626400,2140
50,graph_19_3,60,603070,1950
60,graph_15_3,0,871380,81470
60,graph_15_3,5,856170,23890
60,graph_15_3,10,854520,20860
60,graph_15_3,15,852910,19130
60,graph_15_3,20,834150,9910
60,graph_15_3,25,811850,5190
60,graph_15_3,30,803160,3980
60,graph_15_3,35,794740,3640
60,graph_15_3,40,785530,3430
60,graph_15_3,45,774790,3230
60,graph_15_3,50,760050,2880
60,graph_15_3,55,751640,2710
60,graph_15_3,60,740360,2540
60,graph_17_3,0,874640,82250
60,graph_17_3,5,858140,22980
60,graph_17_3,10,856340,20030
60,graph_17_3,15,854700,18340
60,graph_17_3,20,836290,9400
60,graph_17_3,25,813840,5220
60,graph_17_3,30,805400,4280
60,graph_17_3,35,796000,3970
60,graph_17_3,40,786510,3780
60,graph_17_3,45,776040,3510
60,graph_17_3,50,758700,2970
60,graph_17_3,55,747720,2640
60,graph_17_3,60,734360,2460
60,graph_17_5,0,872480,78840
60,graph_17_5,5,857240,23210
60,graph_17_5,10,855200,20380
60,graph_17_5,15,853300,18560
60,graph_17_5,20,834120,9850
60,graph_17_5,25,809760,5600
60,graph_17_5,30,798000,4340
60,graph_17_5,35,785480,4000
60,graph_17_5,40,775010,3790
60,graph_17_5,45,762250,3400
60,graph_17_5,50,744650,2870
60,graph_17_5,55,731480,2530
60,graph_17_5,60,717200,2340
60,graph_19_3,0,876330,82510
60,graph_19_3,5,859670,22810
60,graph_19_3,10,857850,20120
60,graph_19_3,15,856050,18380
60,graph_19_3,20,838280,9590
60,graph_19_3,25,815420,5390
60,graph_19_3,30,805890,4500
60,graph_19_3,35,795080,4190
60,graph_19_3,40,784830,3930
60,graph_19_3,45,771940,3510
60,graph_19_3,50,752710,2890
60,graph_19_3,55,738690,2520
60,graph_19_3,60,722940,2330
70,graph_15_3,0,895800,64090
70,graph_15_3,5,883120,21500
70,graph_15_3,10,881760,19010
70,graph_15_3,15,880320,17690
70,graph_15_3,20,864800,10030
70,graph_15_3,25,844780,6080
70,graph_15_3,30,837050,4840
70,graph_15_3,35,829060,4590
70,graph_15_3,40,821320,4480
70,graph_15_3,45,812140,4190
70,graph_15_3,50,800250,3750
70,graph_15_3,55,793810,3420
70,graph_15_3,60,786640,3310
70,graph_17_3,0,898810,64030
70,graph_17_3,5,885610,20690
70,graph_17_3,10,884330,18380
70,graph_17_3,15,883030,17020
70,graph_17_3,20,867250,9440
70,graph_17_3,25,847250,5410
70,graph_17_3,30,840130,4660
70,graph_17_3,35,833040,4470
70,graph_17_3,40,825590,4360
70,graph_17_3,45,816810,4110
70,graph_17_3,50,803900,3620
70,graph_17_3,55,797210,3400
70,graph_17_3,60,789560,3300
70,graph_17_5,0,897640,61710
70,graph_17_5,5,884390,20940
70,graph_17_5,10,882910,18560
70,graph_17_5,15,881220,17190
70,graph_17_5,20,864550,9840
70,graph_17_5,25,843930,5790
70,graph_17_5,30,834730,4890
70,graph_17_5,35,825690,4690
70,graph_17_5,40,817870,4460
70,graph_17_5,45,807810,4100
70,graph_17_5,50,794620,3630
70,graph_17_5,55,786590,3290
70,graph_17_5,60,777810,3120
70,graph_19_3,0,900630,64270
70,graph_19_3,5,887130,19720
70,graph_19_3,10,885810,17370
70,graph_19_3,15,884390,16190
70,graph_19_3,20,868860,9090
70,graph_19_3,25,848690,5510
70,graph_19_3,30,841830,4910
70,graph_19_3,35,835110,4700
70,graph_19_3,40,828080,4510
70,graph_19_3,45,819180,4160
70,graph_19_3,50,805360,3690
70,graph_19_3,55,797780,3400
70,graph_19_3,60,789440,3250
