aligner,read_length,mapq,step,count
graph_19_5,50,30,post_mapq,73461
graph_19_5,50,35,post_mapq,69740
graph_19_5,50,40,post_mapq,67718
graph_19_5,50,45,post_mapq,65434
graph_19_5,50,50,post_mapq,62723
graph_19_5,50,55,post_mapq,59870
graph_19_5,50,60,post_mapq,56874
bwa_aln,50,0,post_mapq,88865
bwa_aln,50,20,post_mapq,71389
bwa_aln,50,30,post_mapq,65969
graph_15_5,60,0,post_mapq,96337
graph_15_5,60,5,post_mapq,88652
graph_15_5,60,10,post_mapq,88144
graph_15_5,60,15,post_mapq,87758
graph_15_5,60,20,post_mapq,84928
graph_15_5,60,25,post_mapq,81998
graph_15_5,60,30,post_mapq,80712
graph_15_5,60,35,post_mapq,79528
graph_15_5,60,40,post_mapq,78537
graph_15_5,60,45,post_mapq,77244
graph_15_5,60,50,post_mapq,75573
graph_15_5,60,55,post_mapq,74355
graph_15_5,60,60,post_mapq,73064
graph_19_5,60,0,post_mapq,96996
graph_19_5,60,5,post_mapq,88913
graph_19_5,60,10,post_mapq,88428
graph_19_5,60,15,post_mapq,88017
graph_19_5,60,20,post_mapq,85250
graph_19_5,60,25,post_mapq,82264
graph_19_5,60,30,post_mapq,80815
graph_19_5,60,35,post_mapq,79216
graph_19_5,60,40,post_mapq,77997
graph_19_5,60,45,post_mapq,76445
graph_19_5,60,50,post_mapq,74285
graph_19_5,60,55,post_mapq,72674
graph_19_5,60,60,post_mapq,70954
bwa_aln,60,0,post_mapq,87903
bwa_aln,60,20,post_mapq,74230
bwa_aln,60,30,post_mapq,68880
graph_15_5,70,0,post_mapq,97148
graph_15_5,70,5,post_mapq,91185
graph_15_5,70,10,post_mapq,90788
graph_15_5,70,15,post_mapq,90506
graph_15_5,70,20,post_mapq,88133
graph_15_5,70,25,post_mapq,85547
graph_15_5,70,30,post_mapq,84328
graph_15_5,70,35,post_mapq,83341
graph_15_5,70,40,post_mapq,82529
graph_15_5,70,45,post_mapq,81526
graph_15_5,70,50,post_mapq,80181
graph_15_5,70,55,post_mapq,79345
graph_15_5,70,60,post_mapq,78516
graph_19_5,70,0,post_mapq,97733
graph_19_5,70,5,post_mapq,91399
graph_19_5,70,10,post_mapq,91001
graph_19_5,70,15,post_mapq,90692
graph_19_5,70,20,post_mapq,88320
graph_19_5,70,25,post_mapq,85756
graph_19_5,70,30,post_mapq,84751
graph_19_5,70,35,post_mapq,83826
graph_19_5,70,40,post_mapq,82935
graph_19_5,70,45,post_mapq,81868
graph_19_5,70,50,post_mapq,80306
graph_19_5,70,55,post_mapq,79328
graph_19_5,70,60,post_mapq,78344
bwa_aln,70,0,post_mapq,89671
bwa_aln,70,20,post_mapq,78504
bwa_aln,70,30,post_mapq,74605
graph_15_5,30,0,post_surject,89061
graph_15_5,30,5,post_surject,72959
graph_15_5,30,10,post_surject,70027
graph_15_5,30,15,post_surject,68065
graph_15_5,30,20,post_surject,60737
graph_15_5,30,25,post_surject,51745
graph_15_5,30,30,post_surject,35885
graph_15_5,30,35,post_surject,23163
graph_15_5,30,40,post_surject,21008
graph_15_5,30,45,post_surject,19247
graph_15_5,30,50,post_surject,17241
graph_15_5,30,55,post_surject,13157
graph_15_5,30,60,post_surject,8521
graph_19_5,30,0,post_surject,77306
graph_19_5,30,5,post_surject,65087
graph_19_5,30,10,post_surject,64106
